,work_id,text_name,n_question_marks,man_occurs,genre_occurs,mattr_10,mattr_50,ttr,mattr_500,length,mean_sentence_length,mean_token_length,n_sentences
0,greek_histeriographies,Cassius Dio - Historiae Romanae,0,False,False,0.8817117041040365,0.7145656250000001,0.0978260410641379,0.48094742542839014,236849,9.241805837365382,4.299861937352491,25628
1,greek_histeriographies,Diodorus Siculus - Bibliotheca Historica,0,False,False,0.9192865512540523,0.7488042719881071,0.09641740145346452,0.500118269595456,219338,9.88543356769425,4.9884151401034025,22188
2,greek_histeriographies,Xenophon of Athens - Constitution of the,0,False,False,0.9303587051618548,0.7693251101321587,0.29542278127183785,0.5093175119617225,5724,8.699088145896656,4.688504542278127,658
3,greek_histeriographies,Flavius Josephus - The Jewish War - De b,0,False,False,0.923544602818706,0.7710551609974902,0.13217228839288694,0.5295313926864214,149865,8.637254336925826,4.748506989623995,17351
4,greek_histeriographies,Herodotus - The Histories,0,False,False,0.9720334875748039,0.8308932352926169,0.11614002509922355,0.5467791410729173,196022,11.118661372660238,4.973722337288672,17630
5,greek_histeriographies,Xenophon of Athens - Cyropaedia,0,False,False,0.962951626384752,0.814249908719362,0.13074442037856673,0.5297915763797615,84952,9.53017724927081,4.686470006591958,8914
6,greek_histeriographies,Polybius - Histories,0,False,False,0.9164715272646868,0.7554559527084245,0.08154130320475658,0.4981400058322262,370855,10.798247146517587,4.80371034501355,34344
7,greek_histeriographies,Xenophon of Athens - Anabasis,0,False,False,0.9632805643142737,0.8148173567966692,0.14698951816039652,0.5392220328986171,61535,9.466923076923077,4.8597546111968795,6500
8,greek_histeriographies,Dionysius of Halicarnassus - Antiquitate,0,False,False,0.9070474281897132,0.7599101548101732,0.0852948205221227,0.5245122630574314,347313,9.83499461969757,4.6277709155718325,35314
9,greek_histeriographies,Thucydides - The Peloponnesian War,0,False,False,0.9462927881235779,0.7848099772377877,0.10846423742040019,0.5168717228688193,167871,10.740307101727447,4.837732544632486,15630
10,jewish_texts,Anonymous - Testament of Job - Greek,0,False,False,0.6924898682877406,0.5372638395124428,0.17802670717043226,0.3590447000392106,15801,4.28559804719284,3.5951522055566105,3687
11,jewish_texts,Anonymous - Testament of Abraham Recensi,0,False,False,0.9317802011046595,0.7333941034040735,0.22347949080622348,0.4406370415461879,7070,9.052496798975673,4.5666195190947665,781
12,jewish_texts,Septuaginta - Job,0,False,False,0.9082453494218202,0.7119518649193549,0.2308272093461466,0.4969063675269096,15921,5.0129093198992445,4.280698448589913,3176
13,jewish_texts,Septuaginta - Tobias,0,False,False,0.8795371498172961,0.672454044117647,0.2230500228067508,0.42816814741691345,6577,5.413168724279835,4.185798996502965,1215
14,jewish_texts,Septuaginta - Jonas,0,False,False,0.9213425129087779,0.719625668449198,0.35098206660973524,0.4484345238095238,1171,7.4113924050632916,4.376601195559351,158
15,jewish_texts,Septuaginta - Ruth,0,False,False,0.8555366269165248,0.6408578856152514,0.25074246924056004,0.3802368137782562,2357,5.261160714285714,3.93805685193042,448
16,jewish_texts,Anonymous - Joseph and Aseneth - Greek,0,False,False,0.9250700934579441,0.7202910798122066,0.20574162679425836,0.446624039653036,8569,9.793142857142858,4.523281596452328,875
17,jewish_texts,Septuaginta - Judith,0,False,False,0.8821689831748355,0.6809985315712188,0.19853814527181363,0.43553896228221334,10945,6.304723502304148,4.274920054819552,1736
18,jewish_texts,Septuaginta - Esther,0,False,False,0.8861647727272728,0.6874857142857144,0.2268406866222159,0.4231807633587786,7049,6.924361493123772,4.404170804369414,1018
19,greek_tragedies,Aeschylus - Prometheus Bound,0,False,False,0.8706754530477762,0.7478410393580436,0.3467088607594937,0.5849250101337657,7900,5.370496261046907,4.333670886075949,1471
20,greek_tragedies,Sophocles - Ichneutae,0,False,False,0.7906937394247039,0.6581153184165233,0.3527180783817952,0.48758591248665956,2373,4.671259842519685,3.33417614833544,508
21,greek_tragedies,Euripides - Ion,0,False,False,0.8615228584802622,0.7243011425888246,0.2696655492320886,0.5360332576249188,12827,5.20154095701541,4.033211195135261,2466
22,greek_tragedies,Euripides - Heracleidae,0,False,False,0.8791428223548037,0.7502924262816592,0.28630503527122353,0.554879192023825,8222,5.693905817174516,4.101921673558745,1444
23,greek_tragedies,Sophocles - Electra,0,False,False,0.872067756009924,0.7387329384496524,0.26209608480082064,0.5402155549602643,11698,5.554605887939221,4.062574799110959,2106
24,greek_tragedies,Euripides - Helen,0,False,False,0.8652852808406721,0.7315861352334299,0.2664546664694572,0.547835828918068,13522,5.402317219336796,4.071956811122615,2503
25,greek_tragedies,Euripides - Iphigenia in Tauris,0,False,False,0.8645589519650657,0.7348588957055214,0.28684876516275415,0.5483556569343067,11459,5.480153036824486,4.150013090147483,2091
26,greek_tragedies,Aeschylus - Persians,0,False,False,0.8420921544209217,0.719101154862947,0.3559977888336097,0.5673293750927713,7236,5.519450800915332,4.2454394693200666,1311
27,greek_tragedies,Euripides - Orestes,0,False,False,0.8658004844747855,0.73212397850254,0.2632042253521127,0.542897433945024,13632,5.327080890973036,4.143779342723005,2559
28,greek_tragedies,Sophocles - Ajax,0,False,False,0.8756952380952382,0.7502982791586998,0.2966980683223903,0.5649284715284716,10509,5.93058690744921,4.132743362831858,1772
29,greek_tragedies,Euripides - Elektra,0,False,False,0.8647243944306696,0.7352881485736167,0.296903287279657,0.5518383353341336,10495,5.239640539191213,4.12444020962363,2003
30,greek_tragedies,Euripides - Herakles,0,False,False,0.8669438669438669,0.7418630240940999,0.2978944386743461,0.5651474435196194,10591,5.4875647668393785,4.141818525162874,1930
