,adj,adp,adv,aux,cconj,det,intj,noun,num,part,pron,propn,punct,sconj,verb,text_name,work_id
52,3380,2075,5883,598,2250,6530,102,7745,161,0,2573,978,9843,671,8362,Achilles Tatius - Leucippe et Clitophon,greek_novels
53,2020,1348,2586,238,1427,2745,11,3459,167,0,657,1095,1169,228,4137,Plutarch - Pompey,greek_biographies
54,1024,670,1331,125,796,1466,5,1543,52,0,299,495,576,122,2120,Plutarch - Alcibiades,greek_biographies
55,678,470,838,61,483,889,0,1172,42,0,224,363,432,57,1374,Plutarch - Sertorius,greek_biographies
56,1067,593,1229,144,751,1402,9,1712,56,0,278,239,628,111,1786,Plutarch - Lycurgus,greek_biographies
57,98,80,122,10,82,150,1,185,0,0,24,52,34,10,167,Plutarch - Comparison of Demosthenes and Cicero,greek_biographies
58,76,61,90,7,39,93,0,121,8,1,32,48,66,10,110,Soranus - Vita Hippocratis Secundum Soranum,greek_biographies
59,651,446,685,75,462,867,3,975,21,0,151,179,292,54,1119,Plutarch - Philopoemen,greek_biographies
60,1051,688,1248,117,883,1610,15,1963,81,0,352,491,658,117,2237,Plutarch - Pyrrhus,greek_biographies
61,185,102,198,20,163,246,0,335,7,0,41,38,82,13,244,Plutarch - Comparison of Lycurgus and Numa,greek_biographies
62,81,60,124,8,66,125,0,134,2,0,39,66,40,11,164,Plutarch - Comparison of Demetrius and Antony,greek_biographies
63,994,632,1225,124,637,1287,2,1718,47,0,312,395,511,74,1774,Plutarch - Romulus,greek_biographies
64,656,504,795,78,491,863,6,1087,40,1,232,285,1339,58,1017,Porphyry - Life of Pythagoras - Vita Pythagorae,greek_biographies
65,965,530,1134,113,628,1210,5,1466,53,0,257,322,562,105,1684,Plutarch - Solon,greek_biographies
66,1195,651,1480,153,760,1592,12,1636,48,0,392,497,657,152,2155,Plutarch - Agesilaus,greek_biographies
67,635,508,886,71,495,1055,8,1139,33,0,222,350,434,69,1353,Plutarch - Demosthenes,greek_biographies
68,120,78,128,16,75,140,0,180,4,0,40,74,39,14,215,Plutarch - Comparison of Agesilaus and Pompey,greek_biographies
69,1993,1292,2601,248,1417,2833,26,3495,127,0,690,877,3354,252,4032,Plutarch - Alexander,greek_biographies
70,718,434,985,90,554,1051,12,1189,48,0,258,361,442,92,1557,Plutarch - Artaxerxes,greek_biographies
